Type,Document_ID
Aktualizovaná časť štúdie uskutočniteľnosti,1
Aktualizovaná štúdia,3
Aktualizovaná štúdia od investora,1
Dodatočné poklady od Národnej diaľničnej spoločnos...,1
Dohody o hraničných priechodoch,5
Doplnenie hodnotenia,1
Doplnenie štúdie uskutočniteľnosti,1
Dátová príloha: Úpravy v CBA pre obchvat Veľkého L...,1
Grafy a tabuľky,2
Korekcia diaľničných známok,1
Najčastejšie otázky a odpovede,1
Odhad nákladov na dokončenie D1 - Lietavská Lúčka ...,1
Otázky a odpovede,1
Prognóza,1
aktualizácia,2
analýza,206
hodnotenie,63
stanovisko,9
Štúdia implementácie IT,1
štúdia uskutočniteľnosti,52
